言葉	読み方	起源
鐙	あぶみ	足踏み（あ|ぶみ）
礎	いしずえ	石据ゑ（いし|ずゑ）
泉	いずみ	出づ水（いづ|み）
営む	いとなむ	暇無む（いと|なむ）
蝗	いなご	稲子（いな|ご）*
古	いにしえ	往にし方（いにし|へ）
猪	いのしし	猪の獣（ゐ|の|しし）
諱	いみな	忌み名（いみ|な）
彩り	いろどり	色取り（いろ|どり）
巌	いわお	岩穂（いは|ほ）
承る	うけたまわる	受け賜る（うけ|たまわる）
団扇	うちわ	打ち羽（うち|は）
描く	えがく	絵掻く（ゑ|がく）
靨	えくぼ	笑窪（え|くぼ）
榎	えのき	榎の木（え|の|き）
概ね	おおむね	大旨（おほ|むね）
丘	おか	峰処（を|か）
諡	おくりな	贈り名（おくり|な）
陥る	おちいる	落ち入る（おちいる）
陥れる	おとしいれる	落とし入れる（おとしいれる）
乙女	おとめ	若女（をとめ）
男	おとこ	若子（をと|こ）
男	おのこ	男の子（を|の|こ）
面	おもて	面方（おも|て）
赴く	おもむく	面向く（おも|むく）
蚕	かいこ	飼ひ蚕（かひ|こ）
顧みる	かえりみる	返り見る（かへり|みる）
鏡	かがみ	影見（かが|み）*
芳しい	かぐわしい	香細し（か|ぐはし）
象る	かたどる	形取る（かた|どる）
傾く	かたむく	片向く（かた|むく）
雷	かみなり	神鳴り（かみ|なり）
蚊帳	かや	蚊屋（か|や）
兆し	きざし	気指し（き|ざし）
築く	きずく	城築く（き|づく）
絆	きずな	木綱（き|づな）
茸	きのこ	木の子（き|の|こ）
漱ぐ	くちすすぐ	口濯ぐ（くち|すすぐ）
轡	くつばみ	口食み（くつ|ばみ）*
轡	くつわ	口輪（くつ|わ）*
距	けづめ	蹴爪（け|づめ）
獣	けもの	毛物（け|もの）
志	こころざし	心指し（こころ|ざし）
志す	こころざす	心指す（こころ|ざす）
試みる	こころみる	心見る（こころ|みる）
快い	こころよい	心良し（こころ|よし）
梢	こずえ	木末（こ|ずゑ）
理	ことわり	事割り（こと|わり）
断る	ことわる	言割る（こと|わる）
杯	さかずき	酒坏（さか|づき）*
魚	さかな	酒菜（さか|な）*
魁	さきがけ	先駆け（さき|がけ）
挟む	さしはさむ	差し挟む（さし|はさむ）
幸せ	しあわせ	仕合はせ（し|あはせ）
鹹い	しおからい	塩辛し（しほ|からし）
躾	しつけ	仕付け（し|つけ）
簾	すだれ	簀垂れ（す|だれ）
背く	そむく	背向く（そ|むく）
薪	たきぎ	焚き木（たき|ぎ）
筍	たけのこ	竹の子（たけ|の|こ）
襷	たすき	手繦（た|すき）
奉る	たてまつる	立て奉る（たて|まつる）
七夕	たなばた	棚機（たな|ばた）
卵	たまご	玉子（たま|ご）
保つ	たもつ	手持つ（た|もつ）*
袂	たもと	手本（た|もと）*
頼る	たよる	手寄る（た|よる）*
司る	つかさどる	官取る（つかさ|どる）
培う	つちかう	土養ふ（つち|かふ）
唾	つばき	唾吐き（つ|ばき）
躓く	つまずく	爪付く（つま|づく）*
鎖す	とざす	戸鎖す（と|ざす）
擲つ	なげうつ	投げ打つ（なげ|うつ）
膠	にかわ	煮皮（に|かは）
鶏	にわとり	庭鳥（には|とり）
捗る	はかどる	計取る（はか|どる）
儚い	はかない	計無し（はか|なし）
謀	はかりごと	謀り事（はかり|ごと）
羽	はね	羽根（は|ね）
腸	はらわた	腹腸（はら|わた）
磔	はりつけ	張り付け（はり|つけ）
率いる	ひきいる	引き居る（ひき|ゐる）
庇	ひさし	日差し（ひ|さし）
酷い	ひどい	非道し（ひ|ど|し）
偏	ひとえ	一重（ひと|へ）
檜	ひのき	檜の木（ひ|の|き）
飢い	ひもじい	ひ文字（ひ|もじ）
繙く	ひもとく	紐解く（ひも|とく）
再び	ふたたび	二度（ふた|たび）
