言葉	読み方	起源
暁	あかつき	明時（あか|とき）
鐙	あぶみ	足踏み（あ|ぶみ）
嵐	あらし	荒風（あら|し）
礎	いしずえ	石据ゑ（いし|ずゑ）
泉	いずみ	出づ水（いづ|み）
営む	いとなむ	暇無む（いと|なむ）
暇	いとま	暇間（いと|ま）
蝗	いなご	稲子（いな|ご）
古	いにしえ	往にし方（いにし|へ）
猪	いのしし	猪の獣（ゐ|の|しし）
諱	いみな	忌み名（いみ|な）
妹	いもうと	妹人（いも|ひと）
彩り	いろどり	色取り（いろ|どり）
彩る	いろどる	色取る（いろ|どる）
巌	いわお	岩穂（いは|ほ）
承る	うけたまわる	受け賜る（うけ|たまわる）
潮	うしお	海潮（う|しほ）
団扇	うちわ	打ち羽（うち|は）
海原	うなばら	海な原（う|な|ばら）
厩	うまや	馬屋（うま|や）
描く	えがく	絵掻く（ゑ|がく）
靨	えくぼ	笑窪（え|くぼ）
榎	えのき	榎の木（え|の|き）
概ね	おおむね	大旨（おほ|むね）
丘	おか	峰処（を|か）
補う	おぎなう	置き縫ふ（おき|ぬふ）
諡	おくりな	贈り名（おくり|な）
幼い	おさない	長無し（をさ|なし）
夫	おっと	男人（を|ひと）
弟	おとうと	弟人（おと|ひと）
男	おとこ	若子（をと|こ）
男	おのこ	男の子（を|の|こ）
陥る	おちいる	落ち入る（おち|いる）
陥れる	おとしいれる	落とし入れる（おとし|いれる）
大臣	おとど	大殿（おほ|との）
乙女	おとめ	若女（をと|め）
囮	おとり	招鳥（をき|とり）
表	おもて	面手（おも|て）
赴く	おもむく	面向く（おも|むく）
慮る	おもんばかる	思ひ量る（おもひ|はかる）
蚕	かいこ	飼ひ蚕（かひ|こ）
顧みる	かえりみる	返り見る（かへり|みる）
鏡	かがみ	影見（かが|み）
神楽	かぐら	神座（かむ|くら）
芳しい	かぐわしい	香細し（か|ぐはし）
鍛冶	かじ	金打ち（かね|うち）
象る	かたどる	形取る（かた|どる）
刀	かたな	片刃（かた|な）
