言葉	読み方	起源
碑	いしぶみ	石文
彩る	いろどる	色取る
承る	うけたまわる	受け賜る
厩	うまや	馬屋
諡	おくりな	贈り名
陥る	おちいる	落ち入る
陥れる	おとしいれる	落とし入れる
塊	かたまり	固まり
偏る	かたよる	片寄る
軛	くびき	頸木
礫	こいし	小石
希う	こいねがう	乞い願う
試みる	こころみる	心見る
快い	こころよい	心良い
栞	しおり	枝折り
薪	たきぎ	焚き木
掌	てのひら	手の平
腥い	なまぐさい	生臭い
閨	ねや	寝屋
捗る	はかどる	果取る
儚い	はかない	果敢ない
鋼	はがね	刃金
辱める	はずかしめる	恥ずかしめる
燧石	ひうちいし	火打ち石
酷い	ひどい	非道い
繙く	ひもとく	紐解く
瞼	まぶた	目蓋
蝕む	むしばむ	虫食む
鏃	やじり	矢尻
曙	あけぼの	明仄
憤る	いきどおる	意気通る
礎	いしずえ	石据え
頷く	うなずく	項突く
狼	おおかみ	大神
赴く	おもむく	面向く
趣	おもむき	面向き
卸	おろし	下ろし
幼い	おさない	長無ない
象る	かたどる	形取る
傾く	かたむく	片向く
雷	かみなり	神鳴り
剃刀	かみそり	髪剃り
要	かなめ	金目
茸	きのこ	木の子
兆す	きざす	気差す
嘴	くちばし	口端
獣	けもの	毛物
鸛	こうのとり	鸛の鳥
志す	こころざす	心指す
梢	こずえ	木末
理	ことわり	事割り
断る	ことわる	事割る
遡る	さかのぼる	逆上る
導	しるべ	知る辺
滴る	したたる	下垂る
匠	たくみ	巧み
保つ	たもつ	手持つ
扉	とびら	戸片
司る	つかさどる	官取どる
鶏	にわとり	庭鳥
塒	ねぐら	寝座
鋸	のこぎり	鋸切り
磔	はりつけ	張り付け
蛍	ほたる	火垂る
誠	まこと	真事
瞬く	またたく	目叩く
政	まつりごと	祭り事
詔	みことのり	御言宣り
湖	みずうみ	水海
娶る	めとる	女取る・妻取る
武士	もののふ	物の部
醜い	みにくい	見難い
息子	むすこ	生す子
娘	むすめ	生す女
蘇る	よみがえる	黄泉から帰る
轍	わだち	輪立
暁	あかつき	明時（あかとき）
泉	いずみ	出づ水（いづみ）
妹	いもうと	妹人（いもひと）
弟	おとうと	弟人（おとひと）
楓	かえで	蛙手（かえるて）
担ぐ	かつぐ	肩ぐ（かたぐ）
暦	こよみ	日読み（かよみ）
掌	たなごころ	手の心（てのこころ）
躓く	つまずく	爪突く（つまづく）
自ら	みずから	身つ柄（みつから）
港	みなと	水の門（みのと）
源	みなもと	水の元（みのもと）
