言葉	読み方	起源
育む	はぐくむ	羽包む（は|ぐくむ）
一日	ついたち	月立ち（つき|たち）
稲妻	いなづま	稲の夫（いねの|つま）
羽	はね	羽根（は|ね）
厩	うまや	馬屋（うま|や）
営む	いとなむ	暇無む（いと|なむ）
榎	えのき	榎の木（え|の|き）
炎	ほのお	火の穂（ほ|の|ほ）、火の穂（ほ|の|ほ）*
縁	よすが	寄す処（よす|が）
乙女	おとめ	若女（をと|め）、若女（をとめ）
卸	おろし	下ろし
暇	いとま	暇間（いと|ま）
蚊帳	かや	蚊屋（か|や）
塊	かたまり	固まり
快い	こころよい	心良し（こころ|よし）
戒める	いましめる	忌ましむ（いましむ）
改める	あらためる	新たむ（あらたむ）
魁	さきがけ	先駆け（さき|がけ）
海原	うなばら	海な原（う|な|ばら）
概ね	おおむね	大旨（おほ|むね）
陥る	おちいる	落ち入る（おち|いる）、落ち入る（おちいる）
陥れる	おとしいれる	落とし入れる（おとし|いれる）、落とし入れる（おとしいれる）
館	やかた	屋形（や|かた）
巌	いわお	岩穂（いは|ほ）
眼	まなこ	目な子（ま|な|こ）、目な子（ま|な|こ）*
眼鏡	めがね	目金（め|がね）
希う	こいねがう	乞い願う
飢い	ひもじい	ひ文字し（ひ|もじ|し）、ひ文字（ひ|もじ）
丘	おか	峰処（を|か）
虚しい	むなしい	身無し（む|なし）
距	けづめ	蹴爪（け|づめ）
鋸	のこぎり	鋸切り
魚	さかな	酒菜（さか|な）、酒菜（さか|な）*
挟む	さしはさむ	差し挟む（さし|はさむ）
鏡	かがみ	影見（かが|み）、影見（かが|み）*
暁	あかつき	明時（あか|とき）、明時（あかとき）
躯	むくろ	身幹（む|くろ）
轡	くつばみ	口食み（くつ|ばみ）、口食み（くつ|ばみ）*
轡	くつわ	口輪（くつ|わ）、口輪（くつ|わ）*
傾く	かたむく	片向く（かた|むく）
蛍	ほたる	火垂る
鶏	にわとり	庭鳥（には|とり）
硯	すずり	墨研り（すみ|ずり）
見える	まみえる	目見ゆ（ま|みゆ）、目見ゆ（ま|みゆ）*
源	みなもと	水な本（み|な|もと）、水の元（みのもと）
古	いにしえ	往にし方（いにし|へ）
孤	みなしご	身無し子（み|なし|ご）
湖	みずうみ	水海（みづ|うみ）
顧みる	かえりみる	返り見る（かへり|みる）
喉	のど	飲み門（のみ|と）
幸せ	しあわせ	仕合はせ（し|あはせ）
港	みなと	水な門（み|な|と）、水の門（みのと）
紅	くれない	紅の藍（くれ|の|あゐ）
鋼	はがね	刃金
酷い	ひどい	非道し（ひ|だう|し）、非道し（ひ|ど|し）
鎖す	とざす	戸鎖す（と|ざす）
再び	ふたたび	二度（ふた|たび）
彩り	いろどり	色取り（いろ|どり）
彩る	いろどる	色取る（いろ|どる）
山車	だし	出し（だし）
蚕	かいこ	飼ひ蚕（かひ|こ）
酸漿	ほおずき	頬付き（ほほ|づき）
司る	つかさどる	官取る（つかさ|どる）
志	こころざし	心指し（こころ|ざし）
志す	こころざす	心指す（こころ|ざす）
思惑	おもわく	思はく（おもはく）
試みる	こころみる	心見る（こころ|みる）
慈しむ	いつくしむ	傅くしむ（いつくしむ）
自ら	みずから	身つ柄（みつから）
七夕	たなばた	棚機（たな|ばた）
社	やしろ	屋代（や|しろ）
守る	まもる	目守る（ま|もる）、目守る（ま|もる）*
趣	おもむき	面向き
秀でる	ひいでる	穂出づ（ほ|いづ）
醜い	みにくい	見憎し（み|にくし）
獣	けもの	毛物（け|もの）
瞬き	またたき	目叩き（またたき）、目叩き（ま|たたき）*
瞬き	まばたき	目叩き（ま|ばたき）、目叩き（ま|ばたき）*
瞬く	またたく	目叩く（ま|たたく）*
曙	あけぼの	明仄
匠	たくみ	巧み
承る	うけたまわる	受け賜る（うけ|たまわる）
掌	たなごころ	手の心（てのこころ）
掌	てのひら	手の平（て|の|ひら）
梢	こずえ	木末（こ|ずゑ）
詔	みことのり	御言宣り
象る	かたどる	形取る（かた|どる）
蝕む	むしばむ	虫食む（むし|ばむ）
辱める	はずかしめる	恥づかしむ（はづかしむ）
唇	くちびる	口縁（くち|べり）
神楽	かぐら	神座（かむ|くら）、神座（かむ|くら）*
薪	たきぎ	焚き木（たき|ぎ）
塵	ちり	散り（ちり）
水面	みなも	水な面（み|な|おも）
政	まつりごと	祀り事（まつり|ごと）、祭り事（まつり|ごと）
生まれる	うまれる	産まる（うまる）
誠	まこと	真事（ま|こと）
泉	いずみ	出づ水（いづ|み）、出づ水（いづみ）
前	まえ	目方（ま|へ）、目方（ま|へ）*
礎	いしずえ	石据ゑ（いし|ずゑ）
蘇る	よみがえる	黄泉帰る（よみ|がへる）
遡る	さかのぼる	逆上る
相撲	すもう	争ふ（すまふ）
窓	まど	目戸（ま|ど）、目戸（ま|ど）*
息子	むすこ	生す子
袖	そで	衣手（そ|で）
唾	つばき	唾吐き（つ|ばき）
大臣	おとど	大殿（おほ|との）
茸	きのこ	木の子（き|の|こ）
担ぐ	かつぐ	肩ぐ（かたぐ）
鍛冶	かじ	金打ち（かね|うち）
団扇	うちわ	打ち羽（うち|は）
断る	ことわる	言割る（こと|わる）
男	おとこ	若子（をと|こ）
男	おのこ	男の子（を|の|こ）
築く	きずく	城築く（き|づく）
